CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://shelbyhild.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Shelby Hild,Shelby Hild The website of indie fantasy author Shelby Hild. Visit,2026-03-12T03:14:57Z
https://www.Derricksmythe.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Derrick Smythe,Derrick Smythe Website of indie fantasy author Derrick Smythe. Visit,2026-03-12T03:14:57Z
https://www.kovakillian.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Kova killian,Kova killian Website of indie fantasy author Kova Killian Visit,2026-03-12T03:14:57Z
https://www.amycampbell.info,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Amy Campbell,Author Amy Campbell Website of indie fantasy author Amy Campbell. Visit,2026-03-12T03:14:57Z
https://www.zackargyle.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Zack Argyle,Zack Argyle Website of indie fantasy author Zack Argyle. Visit,2026-03-12T03:14:57Z
https://www.legendsofkalda.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Legends of Kalda,Legends of Kalda Website of indie fantasy authors Dan Zangari and Robert Zangari. Visit,2026-03-12T03:14:57Z
https://www.ejfisch.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,EJ Fisch,EJ Fisch Website of indie sci-fi author EJ Fisch. Visit,2026-03-12T03:14:57Z
https://www.kellannetta.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Kelly Blanchard,Kelly Blanchard Website of indie fantasy author Kelly Blanchard. Visit,2026-03-12T03:14:57Z
https://arhenle.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,A.R. Henle,A.R. Henle Website of indie fantasy author A.R. Henle Visit,2026-03-12T03:14:57Z
http://www.ljcohen.net,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,LJ Cohen,LJ Cohen Website of indie sci-fi author LJ Cohen. Visit,2026-03-12T03:14:57Z
https://lisamgreen.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Lisa M. Green,"Lisa M. Green Website of indie fantasy author Lisa M. Green, Visit",2026-03-12T03:14:57Z
https://jamesewisher.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,James E. Wisher,James E. Wisher Website of indie fantasy author James E. Wisher Visit,2026-03-12T03:14:57Z
http://martinowton.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Martin Owton,Martin Owton Website of indie fantasy author Martin Owton. Visit,2026-03-12T03:14:57Z
http://www.marilynpeake.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Marilyn Peake,Marilyn Peake Website of indie fantasy author Marilyn Peake. Visit,2026-03-12T03:14:57Z
https://tansielexington.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Tansie Lexington Storyteller,Tansie Lexington Storyteller Website of indie fantasy author Tansie Lexington. Visit,2026-03-12T03:14:57Z
https://jslockard.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,J.S. Lockard,J.S. Lockard Website of indie fantasy author J.S. Lockard Click Here,2026-03-12T03:14:57Z
https://www.cfwelburn.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,C.F. Welburn,C.F. Welburn Website of indie fantasy author C.F. Welburn. Visit,2026-03-12T03:14:57Z
https://miketconley.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Mike Conley,Mike Conley Website of indie fantasy author Mike Conely. Visit,2026-03-12T03:14:57Z
https://www.armoredhistory.net,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Armored History,Armored History Website of indie fantasy author Clay Vagrant. Visit,2026-03-12T03:14:57Z
https://catrinrussell.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Catrin Russell,Catrin Russell Website of indie fantasy author Catrin Russell. Visit,2026-03-12T03:14:57Z
